,Count
wow,115
was,1679
just,994
told,102
that,2942
my,1047
son,40
’,2915
s,1288
book,162
“,1746
triggered,6
”,1669
is,4748
number,90
one,520
on,3004
the,16568
new,723
york,171
times,158
bestseller,1
list,35
congratulations,243
don,421
rt,2928
scavino45,78
after,403
call,202
ambassador,33
taylor,15
met,61
with,2596
ukrainian,53
president,1378
volodymyr,3
zelensky,10
very,1207
next,129
day,367
sa…,4
jim_jordan,68
mr,52
kent,5
affirmed,1
ukraine,95
has,1444
a,5667
long-standing,3
history,305
of,6739
corruption,55
and,8090
trump,1075
deeply,8
skeptical,2
this,1703
cor…,1
https,3791
t.co/zodjmgmp5f,1
moments,8
ago,100
t.co/xi41tpshep,1
t.co/u5xlrdrx8p,1
t.co/qqoztunzqk,1
impeachmentsham,2
schiffshow,1
t.co/drr2s6vtrc,1
sooo,23
sad,84
shifty,28
schiff,195
cuts,158
off,124
elisestefanik,2
for,3793
wanting,31
to,8686
enter,20
actual,9
transcript,65
july,26
25th,4
betwe…,2
aid,30
delayed,5
by,1304
55,2
days.during,1
time,603
we,2373
verified,3
real,155
deal,351
t.co/twj…,1
great,2435
question,47
repratcliffe,4
no,1098
answer,27
given,92
t.co/ovmgqgfzwu,1
repchrisstewart,2
welcome,109
year,280
4,62
ongoing,10
impeachment,199
realdonaldtrump,838
if,647
your,504
case…,1
ve,118
got,223
six,24
people,1241
having,123
four,30
conversations,14
in,4891
sentence,14
you,1962
me,649
where,216
clear,38
unde…,1
an,699
abject,1
failure,15
democrats,953
adam,109
t.co/lhia0q8mb8,1
thank,854
franklingraham,1
it,2432
shame,16
our,2593
country,897
know,288
what,675
they,2039
are,2653
doing,438
wrong,157
t.co/o32ybh04vc,1
stevescalise,34
i,2927
can,635
do,880
here,176
today,706
tell,74
heard,50
from,936
dems,388
star,28
witness,23
said,326
he,1443
had,411
firs…,1
repmarkmeadows,52
listen,22
review,15
unbelievable,13
amount,18
hearsay,2
these,246
allegations,13
based,95
spread,7
far,264
wide.…,1
gopoversight,15
•,4
first-hand,3
knowledge.•,1
never,600
spoke,95
trump.•,1
rudy,7
giuliani.•,1
mick,6
mulvan…,1
