date,mean_polarity,mean_subjectivity,mean_text_length,min_polarity,min_subjectivity,min_text_length,max_polarity,max_subjectivity,max_text_length,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,next_day_followers_percent_change
2016-11-10,1.0,1.0,99.0,1.0,1.0,99,1.0,1.0,99,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.026085327148281
2016-11-11,0.2589659090909091,0.499969696969697,131.2,0.0,0.0,123,0.5800000000000001,0.6766666666666667,138,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.9029599944491324
2016-11-12,0.8500000000000001,0.4874999999999999,106.0,0.8500000000000001,0.4874999999999999,106,0.8500000000000001,0.4874999999999999,106,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.0552284646207792
2016-11-13,0.2892559523809525,0.5995535714285715,113.75,-0.6999999999999998,0.4297619047619048,60,0.9250000000000002,0.7733333333333333,139,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9410569977849738
2016-11-16,0.1590909090909091,0.4728030303030303,130.8,0.04999999999999996,0.3125,109,0.34545454545454546,0.55,140,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6710043332950489
2016-11-17,0.4125,0.6375,124.0,0.4125,0.6375,124,0.4125,0.6375,124,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7470775862051949
2016-11-18,0.41805555555555557,0.46527777777777773,129.33333333333334,0.0,0.0,112,0.9,0.75,140,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.44588133646195854
2016-11-19,0.09939880952380953,0.5855992063492064,138.5,-0.125,0.3972222222222222,135,0.3333333333333333,0.7055555555555556,140,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.37276720189562923
2016-11-20,0.12270454545454546,0.6791666666666667,139.2,-0.42,0.5133333333333333,138,0.5583333333333332,0.77,140,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5920140194516393
2016-11-21,0.25,0.3333333333333333,88.0,0.25,0.3333333333333333,88,0.25,0.3333333333333333,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6335348739749587
2016-11-22,0.15156818181818182,0.4192272727272727,122.2,-0.4318181818181818,0.0,76,0.7666666666666666,0.7833333333333333,140,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4777012799916661
2016-11-23,0.04999999999999999,0.95,143.0,0.04999999999999999,0.95,143,0.04999999999999999,0.95,143,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.7362053676849136
2016-11-24,0.29645202020202016,0.6803030303030303,118.66666666666667,-0.36458333333333337,0.5416666666666666,76,0.9,0.875,140,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3777591801347502
2016-11-27,0.052853009259259266,0.5898379629629631,139.41666666666666,-0.9,0.0,134,1.0,1.0,144,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.615457563063143
2016-11-28,0.2474747474747475,0.5573232323232323,107.33333333333333,-0.13257575757575754,0.45,51,0.525,0.75,138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.46519477607841003
2016-11-29,0.002456382001836571,0.3775482093663912,311.90909090909093,-0.8499999999999999,0.0,106,0.8666666666666667,0.8333333333333333,2084,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4337110280439498
2016-11-30,0.0,0.0,73.0,0.0,0.0,73,0.0,0.0,73,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6608067604259876
2016-12-01,0.26927083333333335,0.48697916666666663,119.5,-0.0625,0.0,105,0.7125,0.6979166666666666,129,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.46360024990621174
2016-12-02,0.35,0.525,133.0,0.35,0.525,133,0.35,0.525,133,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.30310985695302306
2016-12-03,0.1828373015873016,0.525892857142857,127.33333333333333,-0.65625,0.15,104,0.625,0.875,140,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.31853787073832046
2016-12-04,-0.026303948576675854,0.4623094582185491,130.27272727272728,-0.3125,0.0,57,0.65,0.8166666666666667,140,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.3777442454311169
2016-12-05,0.04236111111111113,0.30277777777777776,138.0,-0.07291666666666663,0.0,132,0.2,0.675,142,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6070084798620986
2016-12-06,0.03837121212121213,0.29318181818181815,117.4,-0.19829545454545447,0.0,69,0.2537878787878788,0.6515151515151515,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6030764377450867
2016-12-07,0.375,0.3125,113.25,0.0,0.0,55,1.0,0.75,139,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5652086837765772
2016-12-08,0.1,0.5974999999999999,135.4,-1.0,0.0,126,0.6,1.0,140,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.47811995245100747
2016-12-09,0.056818181818181816,0.16666666666666666,111.66666666666667,0.0,0.0,56,0.17045454545454544,0.5,144,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.370236481610916
2016-12-10,0.1404761904761905,0.3964285714285714,118.14285714285714,-0.4791666666666666,0.1,75,0.425,1.0,141,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.2668589432517415
2016-12-11,0.3208333333333333,0.42291666666666666,128.75,0.0,0.0,100,0.5,0.7666666666666666,144,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.2726744236451863
2016-12-12,-0.04668367346938777,0.37332766439909293,124.0,-0.3791666666666667,0.0,52,0.5,0.7041666666666666,140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.26261495867142876
2016-12-13,0.18600852272727275,0.3154119318181818,124.0,-0.06818181818181818,0.0,81,0.8,0.75,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3137962741710677
2016-12-14,0.825,0.875,120.5,0.65,0.75,106,1.0,1.0,135,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2431305653770179
2016-12-15,0.0208611111111111,0.2849722222222223,123.4,-0.2136111111111111,0.0,98,0.5,0.44375,138,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2820237335209474
2016-12-16,0.1875,0.265625,135.75,-0.25,0.0,134,1.0,0.75,137,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.22078034787956682
2016-12-17,0.24250000000000002,0.40714285714285714,138.4,-0.0625,0.11904761904761905,137,0.75,0.725,140,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.2252002939866719
2016-12-18,0.08333333333333333,0.4166666666666667,122.0,-0.25,0.0,85,0.5,0.75,144,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.3361354205705052
2016-12-19,0.4166666666666667,0.7916666666666667,140.0,0.033333333333333326,0.75,140,0.8,0.8333333333333334,140,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4022646066942587
2016-12-20,0.18033333333333335,0.42333333333333334,138.2,0.0,0.0,133,0.7166666666666667,0.7166666666666667,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3632399959252344
2016-12-21,0.23194444444444443,0.6416666666666666,139.66666666666666,0.20833333333333331,0.3916666666666667,136,0.275,0.7833333333333333,143,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.32087568943070255
2016-12-22,0.335,0.4866666666666667,138.0,0.0,0.0,135,0.9,0.875,140,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25484505328885154
2016-12-23,0.028472222222222232,0.4583333333333333,126.16666666666667,-0.4791666666666666,0.0,57,0.5,1.0,140,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3199583925678645
2016-12-24,0.20468750000000002,0.5565972222222222,113.0,-0.3249999999999999,0.25555555555555554,39,0.8,1.0,140,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.4507681554007709
2016-12-25,0.36174242424242425,0.4090909090909091,55.333333333333336,0.0,0.0,39,0.5852272727272727,0.7272727272727273,73,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.3039219692791872
2016-12-26,0.10615079365079365,0.376984126984127,137.0,0.0,0.0,136,0.19345238095238096,0.730952380952381,138,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2744196648659497
2016-12-27,0.5606944444444445,0.6326388888888889,137.66666666666666,0.3070833333333333,0.5,136,0.75,0.75,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.28697425006363964
2016-12-28,0.23700000000000002,0.38666666666666666,123.6,-0.07333333333333332,0.0,59,0.6666666666666666,0.6666666666666666,140,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3354888401807476
2016-12-29,0.0,0.35714285714285715,71.0,0.0,0.35714285714285715,71,0.0,0.35714285714285715,71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.37319343714688813
2016-12-30,0.22609126984126984,0.5142857142857143,103.33333333333333,0.0,0.0,68,0.5741071428571429,0.7928571428571429,121,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3191928326007054
2017-01-02,0.1514069264069264,0.6023088023088023,129.0,-0.2,0.0,71,0.5681818181818181,0.95,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3937229920457724
2017-01-03,-0.028749999999999987,0.4877083333333333,123.3,-0.6,0.0,82,0.8,0.9,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407993742801606
2017-01-04,-0.11661742424242423,0.49951136363636356,137.8,-1.0,0.0,132,0.2575757575757576,1.0,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5971249327634596
2017-01-05,-0.05843434343434342,0.43785894660894664,140.5,-0.4374999999999999,0.2772727272727273,136,0.3,0.5857142857142857,148,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5429587786044177
2017-01-06,0.09381944444444444,0.34935185185185186,135.66666666666666,-0.1875,0.0,116,0.6,0.8888888888888888,144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5765214569881063
2017-01-07,0.3043055555555555,0.7101041666666666,126.125,-0.1,0.36666666666666653,49,0.8,1.0,144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7574826617097458
2017-01-08,0.1487261904761905,0.6752380952380952,128.4,-0.65,0.5014285714285714,90,0.8875000000000001,0.95,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5461793943389546
2017-01-09,0.11934027777777781,0.4675545634920635,129.375,-0.11749999999999998,0.06666666666666668,68,0.8187500000000001,1.0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5299051982330327
2017-01-10,0.0,0.325,101.0,-0.25,0.0,74,0.5,0.5,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8875678239908265
